Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Gain
21.02.2025 15:31:08,21.02.2025 15:31:12,XAUUSD.STD,Sell,0.1,2935.96,2928.46,2929.86,2928.45,141,14.1,00:00:00:04,0.37%
21.02.2025 15:10:31,21.02.2025 15:26:47,XAUUSD.STD,Buy,0.1,2926.66,2934.16,2932.66,2934.2,154,15.4,00:00:16:16,0.40%
21.02.2025 14:52:49,21.02.2025 14:53:38,XAUUSD.STD,Sell,0.1,2937.92,2930.42,2931.91,2930.41,150,15,00:00:00:49,0.39%
21.02.2025 13:33:50,21.02.2025 13:35:19,XAUUSD.STD,Sell,0.1,2939.34,2931.84,2933.32,2931.82,150,15,00:00:01:29,0.40%
21.02.2025 13:12:28,21.02.2025 13:14:41,XAUUSD.STD,Buy,0.1,2927.05,2934.55,2933.05,2934.55,150,15,00:00:02:13,0.40%
20.02.2025 16:48:02,20.02.2025 16:59:47,XAUUSD.STD,Sell,0.1,2942.75,2935.25,2936.75,2935.24,151,15.1,00:00:11:45,0.40%
20.02.2025 16:30:44,20.02.2025 16:32:11,XAUUSD.STD,Buy,0.1,2926,2933.5,2932,2933.72,172,17.2,00:00:01:27,0.46%
20.02.2025 16:15:45,20.02.2025 16:16:48,XAUUSD.STD,Buy,0.1,2922.09,2929.59,2928.09,2929.66,157,15.7,00:00:01:03,0.42%
20.02.2025 16:01:40,20.02.2025 16:05:23,XAUUSD.STD,Sell,0.1,2936.5,2929,2930.48,2928.94,154,15.4,00:00:03:43,0.41%
20.02.2025 15:46:49,20.02.2025 15:46:56,XAUUSD.STD,Sell,0.1,2943.53,2936.03,2937.53,2936.03,150,15,00:00:00:07,0.41%
20.02.2025 15:20:07,20.02.2025 15:32:48,XAUUSD.STD,Buy,0.1,2939.87,2947.37,2945.95,2947.37,142,14.2,00:00:12:41,0.38%
20.02.2025 15:04:44,20.02.2025 15:10:04,XAUUSD.STD,Sell,0.1,2948.86,2941.36,2942.86,2941.36,150,15,00:00:05:20,0.41%
20.02.2025 14:33:08,20.02.2025 14:59:38,XAUUSD.STD,Buy,0.1,2938.18,2945.68,2944.18,2945.68,150,15,00:00:26:30,0.41%
20.02.2025 14:23:14,20.02.2025 14:23:34,XAUUSD.STD,Sell,0.1,2951.57,2944.07,2945.57,2943.87,170,17,00:00:00:20,0.47%
20.02.2025 13:43:52,20.02.2025 13:49:11,XAUUSD.STD,Sell,0.1,2955.05,2947.55,2949.05,2947.49,156,15.6,00:00:05:19,0.43%
19.02.2025 16:50:19,19.02.2025 16:56:31,XAUUSD.STD,Buy,0.1,2932.69,2940.19,2938.69,2940.23,154,15.4,00:00:06:12,0.43%
19.02.2025 16:31:34,19.02.2025 16:43:59,XAUUSD.STD,Buy,0.1,2930.5,2938,2936.41,2936.92,51,5.1,00:00:12:25,0.14%
19.02.2025 15:24:32,19.02.2025 15:51:38,XAUUSD.STD,Sell,0.1,2943.41,2935.91,2937.41,2935.22,219,21.9,00:00:27:06,0.61%
19.02.2025 13:39:54,19.02.2025 13:49:30,XAUUSD.STD,Sell,0.1,2946.95,2939.45,2940.94,2939.45,149,14.9,00:00:09:36,0.42%
18.02.2025 16:51:28,18.02.2025 16:59:00,XAUUSD.STD,Buy,0.1,2920.63,2928.13,2926.42,2928.38,196,19.6,00:00:07:32,0.55%
